status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info,gmp_category,is_class_1
Ongoing,Beverly Hills,CA,United States,Class II,{},Drugs,92954,HUMANRACE,9350 Civic Center Dr,,90210-3629,Voluntary: Firm initiated,Letter,"Nationwide in the USA, Spain, Italy, UK, and France.",D-1175-2023,"Humanrace Suncare, Ozone Face Protection Daily Moisturizer, Broad Spectrum Sunscreen SPF 30, packaged as a 53mL (1.8 fl oz.) bottle, 100% mineral, Active Ingredient: Zinc oxide 15%, Snow Mushroom, Dist. By: @Humanrace 2022 Beverly Hills, CA 90210, USA, NDC 82779-01",5046 units,Subpotent Drug: Product does not contain SPF that is declared on the label.,20230818.0,20230921.0,,20230927.0,"Lot #: 1732A, 1732B, 1742A, 1742B, 1742C, 1742D; Exp. 06/2024.",,④ 품질규격 미달,0
Ongoing,Dublin,OH,United States,Class I,"{'application_number': ['M018'], 'brand_name': ['DRY EYE RELIEF'], 'generic_name': ['POLYETHYLENE GLYCOL AND PROPYLENE GLYCOL'], 'manufacturer_name': ['CARDINAL HEALTH 110, LLC. DBA LEADER'], 'product_ndc': ['70000-0088'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['OPHTHALMIC'], 'substance_name': ['POLYETHYLENE GLYCOL 400', 'PROPYLENE GLYCOL'], 'rxcui': ['895753'], 'spl_id': ['424cccfb-27a9-43c8-9793-34bc5ddcb882'], 'spl_set_id': ['f8da3af5-9172-4023-be82-0fd5bd891616'], 'package_ndc': ['70000-0088-1'], 'is_original_packager': [True], 'unii': ['B697894SGQ', '6DC9Q167V3']}",Drugs,93346,Cardinal Health Inc.,7000 Cardinal Pl,,43017-1091,Voluntary: Firm initiated,Press Release,Nationwide in the USA,D-0135-2024,"LEADER brand Dry Eye Relief (Polyethylene Glycol 400, 0.4% Propylene Glycol, 0.3%); 0.33 FL OZ (10 mL) dropper bottle, Sterile, Distributed By Cardinal Health, Dublin, Ohio 43017, Made in India NDC: 70000-0088-1","11,782 bottles",Non-Sterility: FDA found insanitary conditions and positive bacterial test results from environmental sampling at the manufacturing facility.,20231031.0,20231201.0,,20231129.0,ALL LOTS,,① 무균보증실패,1
Terminated,Little Rock,AR,United States,Class II,{},Drugs,78320,"SCA Pharmaceuticals, LLC",8821 Knoedl Ct,,72205-4600,Voluntary: Firm initiated,Letter,Nationwide in the United States,D-0063-2018,"fentaNYL as citrate 2 mcg / mL, ROPIVacaine HCl 0.1%, Total Fentanyl Dose (200 mcg per 100 mL) in 0.9% Sodium Chloride single dose CADD Cassette  Rx Only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205, NDC 70004-0264-64",20 bags inside rigid translucent plastic cases (CADD),Lack Of Assurance Of Sterility.,20171019.0,20171102.0,20190501.0,20171108.0,Lot: 20170815@26 BUD: 11/13/2017,,① 무균보증실패,0
Ongoing,Northfield,IL,United States,Class II,"{'application_number': ['M003'], 'brand_name': ['GOOD NEIGHBOR PHARMACY ALCOHOL ANTISEPTIC SKIN CLEANSER'], 'generic_name': ['ISOPROPYL ALCOHOL'], 'manufacturer_name': ['Amerisouce Bergen'], 'product_ndc': ['46122-043'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['TOPICAL'], 'substance_name': ['ISOPROPYL ALCOHOL'], 'rxcui': ['797544'], 'spl_id': ['38529756-605f-f0c5-e063-6294a90aee23'], 'spl_set_id': ['fc28cf11-afb9-4295-bee3-735ab10f6bbc'], 'package_ndc': ['46122-043-78', '6122407007'], 'is_original_packager': [True], 'unii': ['ND2M416302']}",Drugs,97385,"MEDLINE INDUSTRIES, LP - Northfield",3 Lakes Dr,,60093-2753,Voluntary: Firm initiated,Letter,Nationwide,D-0604-2025,"Good Neighbor Pharmacy, Alcohol Prep Pads, Distributed By AmeriSource Bergen, 1 West First Avenue, Conshohocken, PA 19428, Made in China: 100 eaches per box, 30 boxes per case, (3,000 eaches per case), NDC 46122-043-78.","66,000 pads",Subpotent Drug- isopropyl alcohol levels fall below the labeled concentration.,20250707.0,20250826.0,,20250903.0,61224070074,,④ 품질규격 미달,0
Terminated,New York,NY,United States,Class I,{},Drugs,65894,"Bethel Nutritional Consulting, Inc",599 W 190th St Ste 1,,10040-3577,Voluntary: Firm initiated,Press Release,"Nationwide, Puerto Rico, and internet sales",D-372-2014,"Bethel Advance (bitter orange, mulberry leaf, cassia seed extract, jobstear seed, spirulina, starch, kola nut) capsules, 400 mg, 30-count bottles, Distributed by: Bethel, Inc., Tel: (212) 568-5330, UPC 1 60126 41750 9.","13,266 bottles","Marketed Without An Approved NDA/ANDA: FDA analyses detected the presence of phenolphthalein, N-di-Desmethylsibutramine, and trace amounts of sibutramine and N-Desmethylsibutramine. Sibutramine and phenolphthalein were previously available drug products but were removed from the U.S. market making these products unapproved new drugs.",20130805.0,20131218.0,20180530.0,20131225.0,"Lot 10092011, Exp 2014",,⑥ 인허가 위반,1
Terminated,Salisbury,MD,United States,Class III,{},Drugs,76982,"Jubilant Cadista Pharmaceuticals, Inc.",207 Kiley Dr,,21801-2249,Voluntary: Firm initiated,E-Mail,Nationwide in the USA,D-0670-2017,"BuPROPion Hydrochloride Extended-release Tablets, USP (SR), 150 mg, packaged in a) 60-count bottles (NDC 59746-316-60) and b) 100-count bottles (NDC 59746-316-01), Rx only, Manufactured by: Julibant Life Sciences Ltd., Roorkee-247661, India; Marketed by: Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD  21801, USA.","81,077 bottles","Failed Impurities/Degradation Specifications: high out of specification results for one of the known degradation products, m-chlorobenzoic acid.",20160408.0,20170413.0,20170417.0,20170419.0,"Lot #s: a) BU25001A, Exp 12/16; BU25002A, BU25003A, BU25004A, Exp 01/17; b) BU24003A, Exp 10/16; BU24004A, BU24005A, Exp 11/16; BU25005A, Exp 01/17",,④ 품질규격 미달,0
Terminated,Farmingdale,NY,United States,Class II,"{'application_number': ['ANDA090796'], 'brand_name': ['IBUPROFEN'], 'generic_name': ['IBUPROFEN'], 'manufacturer_name': ['TIME CAP LABORATORIES, INC'], 'product_ndc': ['49483-602', '49483-603', '49483-604'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['IBUPROFEN'], 'rxcui': ['197805', '197806', '197807'], 'spl_id': ['27b8b074-c62d-7214-e063-6294a90adb69'], 'spl_set_id': ['ec3e8443-d742-4c25-8516-f0df4ebfccdc'], 'package_ndc': ['49483-602-01', '49483-602-50', '49483-603-03', '49483-603-50', '49483-603-05', '49483-603-01', '49483-604-01', '49483-604-50', '49483-604-05', '49483-604-03'], 'is_original_packager': [True], 'upc': ['0349483604504', '0349483604016', '0349483602012', '0349483602500', '0349483603507', '0349483603019'], 'nui': ['N0000000160', 'M0001335', 'N0000175722'], 'pharm_class_moa': ['Cyclooxygenase Inhibitors [MoA]'], 'pharm_class_cs': ['Anti-Inflammatory Agents, Non-Steroidal [CS]'], 'pharm_class_epc': ['Nonsteroidal Anti-inflammatory Drug [EPC]'], 'unii': ['WK2XYI10QM']}",Drugs,77576,"Time-Cap Laboratories, Inc.",7 Michael Ave,,11735-3921,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide U.S.A.,D-1055-2017,"Ibuprofen Tablets, USP 600 mg, 500-count bottle (Capsule Shaped), Rx only, Manufactured for: Time Cap Labs, Inc., 7 Michael Avenue Farmingdale, NJ 11735, USA, Manufactured by: Marksans Pharma Ltd. Plot No. L-82, L-83 Verna Indl. Estate, Verna, Goa-403 722, India, NDC 49483-603-50","1,980 bottles","Presence of  foreign tablets/capsules: Ibuprofen Tablets USP, 600 mg bottles were found to contain some Ibuprofen Tablets USP 800 mg.",20170616.0,20170803.0,20200529.0,20170809.0,Lot #: HN7003,,⑧ 이물혼입/물리적결함,0
Terminated,Tulsa,OK,United States,Class II,{},Drugs,75212,The Apothecary Shoppe LLC,6136 E 51st St,,74135-7704,Voluntary: Firm initiated,Telephone,Oklahoma,D-0002-2017,"Methylcobalamin 5000 mcg/mL Injection, packaged in 1, 2, 3, 4, and 5 mL vials, IM, Rx, The Apothecary Shoppe Compounding Pharmacy, Jenks, OK",419 mL total,Lack of Assurance of Sterility; medication was sterilized with a recalled filter,20160912.0,20161004.0,20180125.0,20161012.0,"071222016@24 BUD 01/08/2017, 05112016@8 BUD 11/07/2016",,① 무균보증실패,0
Ongoing,Allentown,PA,United States,Class II,"{'application_number': ['NDA019635'], 'brand_name': ['SODIUM CHLORIDE'], 'generic_name': ['SODIUM CHLORIDE'], 'manufacturer_name': ['B. Braun Medical Inc.'], 'product_ndc': ['0264-7800', '0264-7802'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAVENOUS'], 'substance_name': ['SODIUM CHLORIDE'], 'rxcui': ['1807551', '1807552', '1807633', '1807634', '1807639'], 'spl_id': ['9fa9f6b4-63b5-4632-8104-37c3dd1ee8fa'], 'spl_set_id': ['7f22c06b-6b4d-4b49-a4b2-d2169f2bd653'], 'package_ndc': ['0264-7800-00', '0264-7800-10', '0264-7800-20', '0264-7802-00', '0264-7802-10'], 'is_original_packager': [True], 'unii': ['451W47IQ8X']}",Drugs,97368,B BRAUN MEDICAL INC,861 Marcon Blvd,,18109-9577,Voluntary: Firm initiated,Letter,Nationwide in the US,D-0586-2025,"0.9% Sodium Chloride Injection USP, L 8000, 1000mL Excel Container, Rx Only, Sterile, nonpyrogenic, single dose container, B. Braun Medical Inc., Bethlehem, PA 18018, NDC 0264-7800-00.","23,100 containers",Lack of Assurance of Sterility; potential for fluid leakage at one of the weld sites.,20250804.0,20250814.0,,20250820.0,"Lot #: J5C919, Exp. 08/31/2027",,① 무균보증실패,0
Terminated,McDonough,GA,United States,Class I,{},Drugs,75537,Love My Tru Body,289 Jonesboro Rd Ste 106,,30253-3725,Voluntary: Firm initiated,Letter,Nationwide,D-0223-2017,"Skinny Bee Diet capsules, 500 mg, packaged in a 60-count bottle",74 bottles,"Marketed without an approved NDA/ANDA: presence of undeclared sibutramine, desmethylsibutramine (an active metabolite of sibutramine) and phenolphthalein.",20161028.0,20161222.0,20170406.0,20161228.0,Bottles stamped MFD: 03.07.2016 EXP: 03.06.2018,,⑤ 표시/라벨링 오류,1
Terminated,East Windsor,NJ,United States,Class I,"{'application_number': ['ANDA206589'], 'brand_name': ['POLYMYXIN B'], 'generic_name': ['POLYMYXIN B'], 'manufacturer_name': ['Eugia US LLC'], 'product_ndc': ['55150-234'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAMUSCULAR', 'INTRATHECAL', 'INTRAVENOUS', 'OPHTHALMIC'], 'substance_name': ['POLYMYXIN B SULFATE'], 'rxcui': ['204509'], 'spl_id': ['097fa44b-506b-4ee0-9f64-4b560c3ed41c'], 'spl_set_id': ['a974c557-e88f-451b-a1bd-d2c656be226e'], 'package_ndc': ['55150-234-10'], 'is_original_packager': [True], 'upc': ['0355150234103'], 'unii': ['19371312D4']}",Drugs,89457,AuroMedics Pharma LLC,279 Princeton Hightstown Rd,,08520-1401,Voluntary: Firm initiated,Letter,Nationwide in the US,D-0556-2022,"Polymyxin B for Injection USP, 500,000 Units per Vial, 10 mL vials, packaged in 10 vials per carton, Sterile, Rx Only, Distributed by: AuroMedics Pharma LLC, E. Windsor, NJ 08520, NDC 55150-234-10","35,520 vials",Presence of Particulate Matter; product complaint of hair discovered in a vial within the lot,20220126.0,20220210.0,20240820.0,20220216.0,"Lot CPB200013, exp 9/2022",,⑧ 이물혼입/물리적결함,1
Terminated,Dyersburg,TN,United States,Class II,{},Drugs,75247,"Wells Pharmacy Network, LLC",450 US Hwy 51 Byp N,,38024-3655,Voluntary: Firm initiated,Telephone,U.S.,D-0126-2017,"Testosterone 200 mg/Anastrozole 9 mg Pellet, Compounded by: Wells Pharmacy Network",690 pellets,Superpotent and Subpotent drugs,20160919.0,20161108.0,20170329.0,20161116.0,"BUD:  10/04/2016, Lot number 04072016@40  BUD:  12/03/2016, Lot number 06162016@2  BUD:  01/07/2017, Lot number CA07112016@4",,④ 품질규격 미달,0
Terminated,Norman,OK,United States,Class II,{},Drugs,65621,Oklahoma Respiratory Care Inc,623 N Porter Ave Ste 100,,73071-6000,Voluntary: Firm initiated,Visit,Oklahoma,D-818-2013,"Oxygen, Compressed USP UN1072 Medical Gas supplied in a) 682 litres and b)165 litres cylinders, Rx only, Oklahoma Respiratory Care 800.262.9857, Norman, OK 73071",94 cylinders,Failed impurities/degradation specifications: Purity readings for oxygen were out of specification.,20121205.0,20130724.0,20141104.0,20130731.0,"Lot numbers:  03141201, 03211201, 05021201, 06271201, and 11081201.",,④ 품질규격 미달,0
Terminated,Columbus,OH,United States,Class II,{},Drugs,75076,Amerisource Health Services,2550 John Glenn Ave Ste A,,43217-1188,Voluntary: Firm initiated,E-Mail,Product was distributed in the following states: Nationwide,D-1488-2016,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, and Amphetamine Sulfate (Mixed Salts of a Single-Entity Amphetamine Product) Extended-Release Capsules, CII 20 mg, 30 UD Capsules (5 x 6), Rx, Packaged and Distributed by: American Health Packaging, Columbus, OH --- Carton NDC 68084-832-25; Blister NDC 68084-832-95",666 cartons,Unit Dose Mispackaging; blister cavities may contain more than one tablet /capsule,20160824.0,20160902.0,20171218.0,20160914.0,"Lot 152325, exp. 12/31/16, lot 154834, exp. 5/31/17",,기타,0
Terminated,San Jose,CA,United States,Class II,{},Drugs,75230,Leiter's Compounding,17 Great Oaks Blvd,,95119-1359,Voluntary: Firm initiated,Letter,Nationwide,D-0013-2017,"Cyclopentolate HCl 1% - Tropicamide 1% - PHENYLephrine HCl 2.5% in Sterile Water for Injection (Ophthalmic Solution), in a) 1 mL Total Volume (NDC 70360-017-38) and b) 10 mL Total Volume (NDC 70360-017-39) in a 15 mL Dropper Bottle, Compounded by Leiter's Compounding, San Jose, CA --- NDC 70360-017-38","76,315 total units, all products",Lack of Assurance of Sterility; all compounded products within expiry produced using recalled filters,20160920.0,20161012.0,20170503.0,20161019.0,All unexpired lots;  a) Expirations dates of 10/03/2016 to 11/06/2016 and b) 09/25/2016 to 10/01/2016,,① 무균보증실패,0
Terminated,Greenville,SC,United States,Class II,"{'application_number': ['ANDA203621'], 'brand_name': ['NYSTATIN'], 'generic_name': ['NYSTATIN'], 'manufacturer_name': ['Pharmaceutical Associates, Inc.'], 'product_ndc': ['0121-0810', '0121-4810'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['NYSTATIN'], 'rxcui': ['312055'], 'spl_id': ['d57cde69-0eb9-180d-e053-2995a90a33aa'], 'spl_set_id': ['31e3da10-5a7b-4bc5-8a4f-3e786b64c13a'], 'package_ndc': ['0121-0810-02', '0121-0810-16', '0121-4810-05', '0121-4810-40', '0121-4810-00', '0121-4810-50'], 'is_original_packager': [True], 'upc': ['0301210810022'], 'nui': ['N0000175498', 'M0017172'], 'pharm_class_epc': ['Polyene Antifungal [EPC]'], 'pharm_class_cs': ['Polyenes [CS]'], 'unii': ['BDF1O1C72E']}",Drugs,84712,Pharmaceutical Associates Inc,1700 Perimeter Rd,,29605-5252,Voluntary: Firm initiated,Letter,Distributed Nationwide in the US,D-0824-2020,"Nystatin Oral Suspension, USP 100,000 units per mL Cherry/Peppermint Flavor, 16 fl oz (473 mL)  Rx Only, pai, Pharmaceutical Associates, Inc. Greenville, SC 29605. NDC 0121-0810-16",6288  16 oz bottles,Subpotent: Out of specification for assay at the 12-month time point.,20200114.0,20200203.0,20210603.0,20200205.0,"Lots: BB70, BB71 Exp. May 2020",,④ 품질규격 미달,0
Terminated,Hattiesburg,MS,United States,Class II,{},Drugs,75164,"Pharmacy Plus, Inc. dba Vital Care Compounder",115 S 40th Ave,,39402-6600,Voluntary: Firm initiated,Telephone,MS,D-1548-2016,"Hyaluronidase, 150 u/ml, 10 ml SDV, Vital Care Compounder, Hattiesburg, MS 39402",23 vials,Lack of Assurance of Sterility,20160726.0,20160927.0,20161118.0,20161005.0,"Lot# 398178, Use by 12/30/16",,① 무균보증실패,0
Terminated,Beloeil,,Canada,Class II,{},Drugs,84055,8046255 Canada Inc. DBA Viatrexx,1360 Louis-Marchand St,,,Voluntary: Firm initiated,Press Release,Distributed to physicians Nationwide throughout the United States and Puerto Rico.,D-0345-2020,"Viatrexx-Hair, 10 mL Sterile multi-dose vial, Rx only, Viatrexx Bio Incorporated, Newark, DE, USA, 19713, Item: VSPC0251, NDC 73069-206-41.",3 vials,Lack of Assurance of Sterility: products manufactured in a manner than cannot guarantee its sterility.,20191015.0,20191114.0,20201210.0,20191120.0,"Lot Numbers: 19-S00009, Exp. May: 2020",,① 무균보증실패,0
Terminated,Princeton,NJ,United States,Class III,{},Drugs,61934,Ranbaxy Inc.,600 College Rd E Ste 2100,,08540-6636,Voluntary: Firm initiated,Letter,Nationwide,D-1405-2012,"Balnetar Therapeutic Tar Bath, Coal Tar USP 2.5% (from Coal Tar USP Solution, 7%), 7.5 oz bottle, Distributed by Ranbaxy, Jacksonville, FL 32257, NDC 10631-106-08",2544 bottles,Subpotent (Single Ingredient Drug): out-of-specification result for coal tar content assay.,20120316.0,20120703.0,20130226.0,20120711.0,"Lot #: RB81031, Exp 01/13",,④ 품질규격 미달,0
Terminated,Edmond,OK,United States,Class II,{},Drugs,81346,"Qualgen, LLC",14844 Bristol Park Blvd,,73013-1891,Voluntary: Firm initiated,Letter,Nationwide.,D-0234-2019,"Testosterone 25 mg pellet, 1 count (NDC: 69761-125-01) and 30 count vials (NDC: 69761-125-30), Rx Only Qualgen, LLC, Edmond, OK 73013",,Lack of Assurance of Sterility,20181017.0,20181107.0,20200604.0,20181114.0,Lots: C235 BUD: 11/10/2018; C241 BUD: 11/17/2018; C251 BUD: 12/8/2018; C265 BUD: 12/28/2018; D008 BUD: 1/9/2019; D018 BUD: 1/19/2019; D022 BUD: 1/25/2019; D032 BUD: 2/7/2019; D037 BUD: 2/13/2019; D057 BUD: 3/8/2019; D061 BUD: 3/14/2019; D069 BUD: 3/23/2019,,① 무균보증실패,0
Ongoing,North Bergen,NJ,United States,Class II,{},Drugs,97625,"DermaRite Industries, LLC",7777 W Side Ave,,07047-6436,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide in the USA,D-0170-2026,"Lantiseptic, Skin Protectant, Lanolin USP 30%, packaged in a) 5g (0.17 oz) (NDC 61924-304-05), b)14.2g (0.5 oz)( NDC 61924-304-14), c) 4oz (NDC 61924-304-04), d) 4.5oz (NDC 61924-304-45), and e) 12oz (NDC 61924-304-12) tubes, DermaRite Industries LLC, 7777 West Side Avenue, North Bergen, NJ 07047.","57,837 units",CGMP Deviation; manufactured at the same facility where other products and lots were found to be contaminated.,20250827.0,20251120.0,,20251126.0,All lots on or before expiry date 08/2027,,⑦ 일반 CGMP 결함,0
Terminated,Vancouver,WA,United States,Class II,{},Drugs,65690,"Aidapak Services, LLC",14301 Se 1st St,,98684-3501,Voluntary: Firm initiated,Telephone,"Repacked drugs were distributed in Arizona, California, Oregon, and Washington.",D-946-2014,"LACTOBACILLUS ACIDOPHILUS, Tablet, 35 MILLION, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 00536718101.",100 Tablets,"Labeling: Label Mixup: LACTOBACILLUS ACIDOPHILUS, Tablet, 35 MILLION may have potentially been mislabeled as the following drug:  REPAGLINIDE, Tablet, 1 mg, NDC 00169008281, Pedigree: W003924, EXP: 6/28/2014.",20130702.0,20140120.0,20140207.0,20140129.0,"LACTOBACILLUS ACIDOPHILUS, Tablet, 35 MILLION has the following codes:   Pedigree: W003865, EXP: 6/27/2014.",,⑤ 표시/라벨링 오류,0
Terminated,Rockville,MD,United States,Class II,"{'application_number': ['NDA201635'], 'brand_name': ['TROKENDI XR'], 'generic_name': ['TOPIRAMATE'], 'manufacturer_name': ['Supernus Pharmaceuticals, Inc.'], 'product_ndc': ['17772-101', '17772-102', '17772-103', '17772-104'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['TOPIRAMATE'], 'rxcui': ['1436239', '1436245', '1437278', '1437280', '1437283', '1437285', '1437288', '1437290'], 'spl_id': ['4d7bcc14-c816-0b67-e063-6394a90a1097'], 'spl_set_id': ['2dc7957e-a3e5-46bb-aa66-f3250f872f5e'], 'package_ndc': ['17772-102-70', '17772-102-01', '17772-102-30', '17772-102-15', '17772-102-10', '17772-102-12', '17772-102-07', '17772-103-70', '17772-103-01', '17772-103-30', '17772-103-15', '17772-103-10', '17772-103-12', '17772-103-07', '17772-104-70', '17772-104-01', '17772-104-30', '17772-104-15', '17772-104-12', '17772-104-10', '17772-104-07', '17772-101-70', '17772-101-01', '17772-101-30', '17772-101-15', '17772-101-10', '17772-101-12', '17772-101-07'], 'is_original_packager': [True], 'upc': ['0317772101300', '0317772102307', '0317772104301', '0317772103304'], 'nui': ['N0000008486', 'N0000185506', 'N0000182140'], 'pharm_class_pe': ['Decreased Central Nervous System Disorganized Electrical Activity [PE]'], 'pharm_class_moa': ['Cytochrome P450 3A4 Inducers [MoA]', 'Cytochrome P450 2C19 Inhibitors [MoA]'], 'unii': ['0H73WJJ391']}",Drugs,74988,"Supernus Pharmaceuticals, Inc.",1550 E Gude Dr,,20850-1339,Voluntary: Firm initiated,E-Mail,Nationwide,D-0112-2017,"Trokendi XR (topiramate) extended-release capsule, 50mg, 30-count blister pack, Rx only, Manufactured by: Catalent Pharma Solutions, Winchester, KY 40391, Manufactured for: Supernus Pharmaceuticals, Inc., Rockville, MD 20850, NDC 17772-102-15","17,128 (30-count blister packs)",Superpotent Drug: Failure of assay specifications in the capsule.,20160712.0,20161020.0,20190226.0,20161026.0,"Lot # 426636, Exp 4/22/18",,④ 품질규격 미달,0
Terminated,Anaheim,CA,United States,Class II,{},Drugs,86394,"Preferred Pharmaceuticals, Inc.",1250 N Lakeview Ave Ste O,,92807-1801,Voluntary: Firm initiated,Letter,Repackaged tablets sold to three physicians located in CA and GA.,D-1623-2020,"Nature-Throid, 1 Grain, 65 mg (Thyroid U.S.P. 1 gr. (65mg)/Liothyronine (T3) 9mcg/Levothyroxine (T4) 38mcg, packaged in a) 90-count bottles (NDC 68788-7604-09), b) 100-count tablets (NDC 68788-7604-01), Rx Only, Mfg: RLC Labs; Cave Creek, AZ, Preferred Pharmaceuticals, Inc.",,CGMP Deviations,20200902.0,20200924.0,20240425.0,20200930.0,"a) Lot #: A0220Q, Exp. Date: 10/31/2020; b) Lot #: K15171, Exp. Date: 10/31/2020",,⑦ 일반 CGMP 결함,0
Terminated,Grover Beach,CA,United States,Class II,{},Drugs,81343,H J Harkins Company Inc dba Pharma Pac,1400 W Grand Ave Ste F,,93433-4221,Voluntary: Firm initiated,Letter,Nationwide in the USA and Puerto Rico,D-0415-2019,"GENTAMICIN OPTH-SOL 5ml Compare: Garamycin.  5-mL plastic dropper bottle, Mfg: AKORN 17478-0283-10. NDC 52959-0103-00","84, 5 ml bottles",Presence of Particulate Matter: Crystalline particles were noticed by manufacturer at the 24 month clarity testing.,20181018.0,20190128.0,20210506.0,20190206.0,"Lot # GNT01AK, Exp. 02/19 & GNT07AK, Exp. 3/20",,⑧ 이물혼입/물리적결함,0
Terminated,Richmond,VA,United States,Class II,{},Drugs,93935,Mckesson Medical-Surgical Inc. Corporate Office,9954 Maryland Drive,Deep Run Iii Ste. 4000,23233,Voluntary: Firm initiated,Letter,"Product was distributed to three direct accounts in NM, AZ and UT.",D-0373-2024,"Bicillin L-A (Penicillin G Benzathine) 1.2, MMU / 2 mL Injection Prefilled Syringe 2 mL, Rx only, Mfg: Pfizer Pharmaceuticals, NDC 60793-0701-10",70 vials,cGMP Deviations: Products were stored outside the drug label specifications.,20240207.0,20240308.0,20240814.0,20240320.0,567951,,④ 품질규격 미달,0
Terminated,Bethlehem,PA,United States,Class II,"{'application_number': ['NDA022462'], 'brand_name': ['GABLOFEN'], 'generic_name': ['BACLOFEN INJECTION'], 'manufacturer_name': ['Piramal Critical Care Inc'], 'product_ndc': ['66794-151', '66794-155', '66794-156', '66794-157'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRATHECAL'], 'substance_name': ['BACLOFEN'], 'rxcui': ['308517', '1047437', '1047440', '1047444', '1300890', '1301627', '1369783', '1369784', '1369787', '1369788', '1369791', '1369792', '1666613', '1666615'], 'spl_id': ['5135dfce-e3c4-a382-e063-6394a90a4875'], 'spl_set_id': ['00d3e846-dd92-448d-9ab8-6a07be823cc1'], 'package_ndc': ['66794-151-01', '66794-155-01', '66794-155-02', '66794-156-01', '66794-156-02', '66794-157-01', '66794-157-02'], 'is_original_packager': [True], 'upc': ['0366794157024', '0366794155020', '0366794156027'], 'nui': ['N0000000196', 'N0000000116', 'N0000175759'], 'pharm_class_moa': ['GABA A Agonists [MoA]', 'GABA B Agonists [MoA]'], 'pharm_class_epc': ['gamma-Aminobutyric Acid-ergic Agonist [EPC]'], 'unii': ['H789N3FKE8']}",Drugs,83280,"Piramal Critical Care, Inc.",3950 Schelden Cir,,18017-8936,Voluntary: Firm initiated,Letter,USA Nationwide,D-1742-2019,"Gablofen (baclofen injection), 50 mcg/mL, Single Use Syringe, Rx only, packaged in a box containing one 1 mL syringe, Distributed by: Primal Critical Care, Inc., 3950 Schelden Circle Bethlehem, PA, 18017, NDC 66794-151-01","Lot 2155-111 (1,418 boxes) and Lot 2155-111A (5,640 boxes)",Failed Impurities/Degradation Specification -This recall is being initiated as a precaution due to the presence of an unknown impurity observed during shelf life of the product.,20190708.0,20190813.0,20210309.0,20190807.0,"Lot #: 2155-111, 2155-111A, Exp 6/20",,④ 품질규격 미달,0
Terminated,Noblesville,IN,United States,Class II,{},Drugs,72177,Pharmakon Pharmaceuticals,14450 Getz Rd,,46060-3303,Voluntary: Firm initiated,Telephone,Nationwide,D-0609-2016,"Provocholine Pre-diluted Set II in 0.9% Sodium Chloride, 0.0625 mg/mL, 3 mL in 5 mL Syr, injectable packed in syringes, Rx only, PHARMAKON Pharmaceuticals, Inc.",,Stability data does not support expiry.,20150819.0,20160127.0,20170509.0,20160203.0,All lots with expiration dates up to 11/17/2015,,기타,0
Terminated,Columbus,OH,United States,Class II,{},Drugs,71553,American Health Packaging,2550 John Glenn Ave,Suite A,43217-1188,Voluntary: Firm initiated,Letter,Nationwide,D-1224-2015,"Clarithromycin tablets, USP 500mg, packaged in 10-count blisters (NDC 68084-437-11); 5 blister packs per carton (NDC 68084-279-65); Rx only,  Manufactured by: Wockhardt Limited, Mumbai, India, Distributed by: Wockhardt, USA, LLC 20 Waterview Blvd. Parsippany, NJ 07054 USA for American Health Packaging 2550-A John Glenn Avenue, Columbus, OH 43217.","3,572 cartons",CGMP Deviations: Firm did not adequately investigate customer complaints.,20150601.0,20150708.0,20170222.0,20150715.0,"Lot#: 132323, Exp 07/31/2015; Lot#: 132960, Exp 09/30/2015; Lot#: 133707A, Exp 10/31/2015; Lot#: 133707B, Exp 11/30/2015.",,⑦ 일반 CGMP 결함,0
